Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CATTLE,"CATTLE - CALF CROP, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"630,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"250,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"39,245,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,COTTON,COTTON - ACRES PLANTED,TOTAL,NOT SPECIFIED,"435,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,COTTON,"COTTON - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,"808,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CUCUMBERS,CUCUMBERS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,600",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CUCUMBERS,"CUCUMBERS - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"756,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"860,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,HAY,"HAY - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"2,150,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,HOGS,"HOGS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"30,388,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,OATS,OATS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"40,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"600,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"195,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,RED MEAT,"RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"13,300,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"350,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"15,870,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,WHEAT,WHEAT - ACRES PLANTED,TOTAL,NOT SPECIFIED,"150,000",
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"7,700,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,BARLEY,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,500",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"239,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,CATTLE,"CATTLE - CALF CROP, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"4,500",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,HAY,HAY - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"21,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,HAY,"HAY - PRODUCTION, MEASURED IN TONS",TOTAL,NOT SPECIFIED,"25,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,HOGS,"HOGS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,191,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,OATS,OATS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,700",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"66,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,560,
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"146,000",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,RED MEAT,"RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,000,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,BARLEY,BARLEY - ACRES PLANTED,TOTAL,NOT SPECIFIED,"20,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,227,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,BROCCOLI,BROCCOLI - ACRES PLANTED,TOTAL,NOT SPECIFIED,"9,600",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,BROCCOLI,"BROCCOLI - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"1,344,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CABBAGE,CABBAGE - ACRES PLANTED,TOTAL,NOT SPECIFIED,"3,300",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CABBAGE,"CABBAGE - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"1,666,500",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CATTLE,"CATTLE - CALF CROP, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"310,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CAULIFLOWER,CAULIFLOWER - ACRES PLANTED,TOTAL,NOT SPECIFIED,"5,800",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CAULIFLOWER,"CAULIFLOWER - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"1,054,500",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,"65,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"6,240,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,COTTON,COTTON - ACRES PLANTED,TOTAL,NOT SPECIFIED,"175,000",
