Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,APR,,STATE,ARIZONA,4,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"450,000,000",
SURVEY,2017,APR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"210,456,000",
SURVEY,2017,APR,,STATE,CALIFORNIA,6,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,440,000,000",
SURVEY,2017,APR,,STATE,COLORADO,8,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"344,000,000",
SURVEY,2017,APR,,STATE,FLORIDA,12,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"227,000,000",
SURVEY,2017,APR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"89,328,000",
SURVEY,2017,APR,,STATE,IDAHO,16,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,192,000,000",
SURVEY,2017,APR,,STATE,ILLINOIS,17,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,533,000",
SURVEY,2017,APR,,STATE,ILLINOIS,17,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"168,000,000",
SURVEY,2017,APR,,STATE,INDIANA,18,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"366,000,000",
SURVEY,2017,APR,,STATE,IOWA,19,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"23,168,000",
SURVEY,2017,APR,,STATE,IOWA,19,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"433,000,000",
SURVEY,2017,APR,,STATE,KANSAS,20,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"297,000,000",
SURVEY,2017,APR,,STATE,MICHIGAN,26,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"948,000,000",
SURVEY,2017,APR,,STATE,MINNESOTA,27,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"59,844,000",
SURVEY,2017,APR,,STATE,MINNESOTA,27,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"831,000,000",
SURVEY,2017,APR,,STATE,NEW JERSEY,34,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,877,000",
SURVEY,2017,APR,,STATE,NEW MEXICO,35,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"65,179,000",
SURVEY,2017,APR,,STATE,NEW MEXICO,35,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"705,000,000",
SURVEY,2017,APR,,STATE,NEW YORK,36,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"63,160,000",
