Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,MARKETING YEAR,,STATE,ALABAMA,1,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"2,072,300,000",
SURVEY,2017,MARKETING YEAR,,STATE,ARKANSAS,5,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"3,431,000,000",
SURVEY,2017,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"3,759,600,000",
SURVEY,2017,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"1,414,500,000",
SURVEY,2017,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"2,095,700,000",
SURVEY,2017,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"5,010,600,000",
SURVEY,2017,MARKETING YEAR,,STATE,ILLINOIS,17,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"1,500,400,000",
SURVEY,2017,MARKETING YEAR,,STATE,INDIANA,18,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"9,869,700,000",
SURVEY,2017,MARKETING YEAR,,STATE,IOWA,19,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"16,155,200,000",
SURVEY,2017,MARKETING YEAR,,STATE,KENTUCKY,21,,,,,,,0,,EGGS,"EGGS - PRODUCTION, MEASURED IN EGGS",TOTAL,NOT SPECIFIED,"1,360,500,000",
