State,TOBACCO,SWEET POTATO,Canola,SUNFLOWER,SUGARCANE,SUGARBEET,SOYBEANS,RYE,PEANUT,Cotton,PROSO MILLET,MAPLE SYRUP,Dry Edible Beans,Flaxseed,LENTIL,Chickpea
Alaba,0.0,0,0.0,0.0,0.0,0.0,15870.0,0,704450.0,808.0,0.0,0.0,0.0,0.0,0.0,0
Arizo,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,515.2,0.0,0.0,0.0,0.0,0.0,0
Arkan,0.0,(D),0.0,0.0,0.0,0.0,178500.0,0,153700.0,1074.0,0.0,0.0,0.0,0.0,0.0,0
Calif,0.0,6510,0.0,51305.0,0.0,1066.0,0.0,0,0.0,865.0,0.0,0.0,1045.0,0.0,0.0,326
Color,0.0,0,0.0,86200.0,0.0,1035.0,0.0,0,0.0,0.0,11165.0,0.0,1092.0,0.0,0.0,(D)
Conne,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0
Delaw,0.0,0,0.0,0.0,0.0,0.0,8058.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Flori,0.0,(D),0.0,0.0,16942.0,0.0,476.0,0,638250.0,155.0,0.0,0.0,0.0,0.0,0.0,0
Georg,26250.0,0,0.0,0.0,0.0,0.0,6300.0,475,3572250.0,2225.0,0.0,0.0,0.0,0.0,0.0,0
Idaho,0.0,0,37910.0,0.0,0.0,6507.0,0.0,0,0.0,0.0,0.0,0.0,2873.0,0.0,315.0,1301
Illin,0.0,0,0.0,0.0,0.0,0.0,611900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
India,0.0,0,0.0,0.0,0.0,0.0,320760.0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0
Iowa,0.0,0,0.0,0.0,0.0,0.0,566580.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kansa,0.0,0,62040.0,84520.0,0.0,0.0,191625.0,0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0
Kentu,183300.0,0,0.0,0.0,0.0,0.0,102820.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Louis,0.0,2185,0.0,0.0,14744.0,0.0,67500.0,0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0
Maine,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0
Maryl,0.0,0,0.0,0.0,0.0,0.0,25245.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Massa,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0
Michi,0.0,0,0.0,0.0,0.0,3604.0,96475.0,0,0.0,0.0,0.0,150.0,4394.0,0.0,0.0,-
Minne,0.0,0,71760.0,68475.0,0.0,12515.0,384275.0,(D),0.0,0.0,0.0,17.0,3567.0,0.0,0.0,(D)
Missi,0.0,4930,0.0,0.0,0.0,0.0,115010.0,0,172000.0,1351.0,0.0,0.0,0.0,0.0,0.0,0
Misso,0.0,0,0.0,0.0,0.0,0.0,292545.0,0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0
Monta,0.0,0,117820.0,0.0,0.0,1396.0,0.0,0,0.0,0.0,0.0,0.0,2643.0,342.0,4355.0,2493
Nebra,0.0,0,0.0,61800.0,0.0,1437.0,326025.0,0,0.0,0.0,2752.0,0.0,3901.0,0.0,0.0,(D)
New H,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0
New J,0.0,0,0.0,0.0,0.0,0.0,4455.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
New M,0.0,0,0.0,0.0,0.0,0.0,0.0,0,26600.0,126.3,0.0,0.0,0.0,0.0,0.0,0
New Y,0.0,0,0.0,0.0,0.0,0.0,11925.0,0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0
North Carolina,360040.0,19690,0.0,0.0,0.0,0.0,67600.0,0,479700.0,741.0,0.0,0.0,0.0,0.0,0.0,0
North Dakota,0.0,0,2496000.0,704250.0,0.0,6445.0,243225.0,(D),0.0,0.0,0.0,0.0,12392.0,3435.0,2175.0,532
Ohio,0.0,0,0.0,0.0,0.0,0.0,251955.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ohio ,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0
Oklah,0.0,0,168000.0,0.0,0.0,0.0,18560.0,1080,79380.0,1020.0,0.0,0.0,0.0,0.0,0.0,0
Orego,0.0,0,11160.0,0.0,0.0,334.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Other,0.0,2331,0.0,0.0,0.0,0.0,0.0,8697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
Penns,18990.0,0,0.0,0.0,0.0,0.0,29040.0,(D),0.0,0.0,0.0,165.0,0.0,0.0,0.0,0
South Carolina,25200.0,0,0.0,0.0,0.0,0.0,14820.0,0,472000.0,471.0,0.0,0.0,0.0,0.0,0.0,0
South Dakota,0.0,0,0.0,1020000.0,0.0,0.0,241230.0,0,0.0,0.0,972.0,0.0,0.0,65.0,0.0,0
Tenne,43000.0,0,0.0,0.0,0.0,0.0,83000.0,0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0
Texas,0.0,0,0.0,61200.0,1552.0,0.0,6845.0,0,697200.0,9296.0,0.0,0.0,220.0,0.0,0.0,-
Unite,710161.0,35646,3055410.0,2137750.0,33238.0,35317.0,4411633.0,10252,7115410.0,20922.5,14889.0,4385.0,35961.0,3842.0,7482.0,7057
Vermo,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0
Virgi,53381.0,0,0.0,0.0,0.0,0.0,25960.0,0,119880.0,192.0,0.0,0.0,0.0,0.0,0.0,0
Washi,0.0,0,90720.0,0.0,0.0,87.0,0.0,0,0.0,0.0,0.0,0.0,2901.0,0.0,637.0,2302
West Virgina,0.0,0,0.0,0.0,0.0,0.0,1404.0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0
Wisco,0.0,0,0.0,0.0,0.0,0.0,101650.0,(D),0.0,0.0,0.0,207.0,0.0,0.0,0.0,0
Wyomi,0.0,0,0.0,0.0,0.0,891.0,0.0,0,0.0,0.0,0.0,0.0,933.0,0.0,0.0,(D)
